d
Debug= 1
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:26.700
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:26.713
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:26.823
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:26.823
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:26.823
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:26.834
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:26.849
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:26.865
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:26.865
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:26.875
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:26.890
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:26.962
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:26.962
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:26.962
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:26.973
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:26.988
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.055
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.055
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.055
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.151
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.151
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.151
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.160
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.174
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.242
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.242
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.242
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.253
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.267
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.377
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.377
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.377
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.377
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.390
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.430
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.430
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.430
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.441
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.455
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.582
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.582
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.674
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.674
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.674
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.680
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.695
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.713
