d
Debug= 1
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:11:05.288
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:05.288
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.374
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.374
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.418
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.418
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.418
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.467
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.515
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.515
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.515
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:05.515
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.556
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.605
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.605
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.605
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.654
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.697
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.697
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.697
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:05.743
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.792
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.792
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.792
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:11:05.792
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:11:05.829
