l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.617
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.617
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.627
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.641
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.719
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.719
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.719
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.719
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.733
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.769
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.769
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.769
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.776
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.791
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.798
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.798
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:02:05.806
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:05.806
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.808
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.819
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.841
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.841
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.841
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.881
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.881
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.881
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.889
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.903
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.927
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.927
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.927
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.933
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.947
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.969
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.969
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.969
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.980
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.994
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.015
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.015
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.023
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.037
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.070
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.070
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.070
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.079
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.092
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.105
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.105
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.105
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.112
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.127
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.151
