Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.242
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.246
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.250
Rcvd msgID: 0x109; 01; 5C; 00; 00; 00; 24; FF; 00  00:01:50.299
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.332
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.333
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.336
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.340
Rcvd msgID: 0x109; 01; 47; 00; 00; 00; 24; FF; 00  00:01:50.386
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.429
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.429
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.432
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.437
Rcvd msgID: 0x109; 01; 36; 00; 00; 00; 24; FF; 00  00:01:50.487
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.523
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.524
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.524
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.528
