Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.182
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.187
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.281
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.284
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.290
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:08.296
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:08.310
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.373
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.377
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.382
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.473
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.477
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.482
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:08.485
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:08.499
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.572
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.576
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.581
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.726
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.729
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.735
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:08.738
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:08.754
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.765
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.768
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.774
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.876
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.880
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.885
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:08.889
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:08.904
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.960
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.964
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.970
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.063
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.067
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.072
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:09.075
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:09.089
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.156
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.160
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.165
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.340
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.344
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.349
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.356
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.360
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.362
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:09.364
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:09.378
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.456
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.459
